"","REF_DATE","GEO","Sex","Work.absence.statistics","VALUE"
"18945",2001,"Regina, Saskatchewan","Males","Days",1
"18948",2001,"Regina, Saskatchewan","Females","Incidence rate",1.9
"18951",2001,"Regina, Saskatchewan","Females","Inactivity rate",0.7
"18954",2001,"Regina, Saskatchewan","Females","Days",1.7
"18966",2001,"Saskatoon, Saskatchewan","Males","Incidence rate",1.9
"18969",2001,"Saskatoon, Saskatchewan","Males","Inactivity rate",0.6
"18972",2001,"Saskatoon, Saskatchewan","Males","Days",1.5
"18975",2001,"Saskatoon, Saskatchewan","Females","Incidence rate",2.6
"18978",2001,"Saskatoon, Saskatchewan","Females","Inactivity rate",0.7
"18981",2001,"Saskatoon, Saskatchewan","Females","Days",1.8
"18993",2001,"Calgary, Alberta","Males","Incidence rate",1.4
"18996",2001,"Calgary, Alberta","Males","Inactivity rate",0.4
"18999",2001,"Calgary, Alberta","Males","Days",0.9
"19002",2001,"Calgary, Alberta","Females","Incidence rate",1.8
"19005",2001,"Calgary, Alberta","Females","Inactivity rate",0.7
"19008",2001,"Calgary, Alberta","Females","Days",1.9
"19020",2001,"Edmonton, Alberta","Males","Incidence rate",2.3
"19023",2001,"Edmonton, Alberta","Males","Inactivity rate",0.6
"19026",2001,"Edmonton, Alberta","Males","Days",1.6
"19029",2001,"Edmonton, Alberta","Females","Incidence rate",2.5
"19032",2001,"Edmonton, Alberta","Females","Inactivity rate",0.8
"19035",2001,"Edmonton, Alberta","Females","Days",2
"19047",2001,"Kelowna, British Columbia","Males","Incidence rate",NA
"19050",2001,"Kelowna, British Columbia","Males","Inactivity rate",NA
"19053",2001,"Kelowna, British Columbia","Males","Days",NA
"19056",2001,"Kelowna, British Columbia","Females","Incidence rate",NA
"19059",2001,"Kelowna, British Columbia","Females","Inactivity rate",NA
"19062",2001,"Kelowna, British Columbia","Females","Days",NA
"19074",2001,"Abbotsford-Mission, British Columbia","Males","Incidence rate",1.9
"19077",2001,"Abbotsford-Mission, British Columbia","Males","Inactivity rate",0.7
"19080",2001,"Abbotsford-Mission, British Columbia","Males","Days",1.7
"19083",2001,"Abbotsford-Mission, British Columbia","Females","Incidence rate",NA
"19086",2001,"Abbotsford-Mission, British Columbia","Females","Inactivity rate",NA
"19089",2001,"Abbotsford-Mission, British Columbia","Females","Days",NA
"19101",2001,"Vancouver, British Columbia","Males","Incidence rate",1.2
"19104",2001,"Vancouver, British Columbia","Males","Inactivity rate",0.5
"19107",2001,"Vancouver, British Columbia","Males","Days",1.1
"19110",2001,"Vancouver, British Columbia","Females","Incidence rate",1.3
"19113",2001,"Vancouver, British Columbia","Females","Inactivity rate",0.4
"19116",2001,"Vancouver, British Columbia","Females","Days",1
"19128",2001,"Victoria, British Columbia","Males","Incidence rate",2.1
"19131",2001,"Victoria, British Columbia","Males","Inactivity rate",0.6
"19134",2001,"Victoria, British Columbia","Males","Days",1.5
"19137",2001,"Victoria, British Columbia","Females","Incidence rate",2.3
"19140",2001,"Victoria, British Columbia","Females","Inactivity rate",0.9
"19143",2001,"Victoria, British Columbia","Females","Days",2.4
"19155",2001,"Non-census metropolitan areas","Males","Incidence rate",1.6
"19158",2001,"Non-census metropolitan areas","Males","Inactivity rate",0.5
"19161",2001,"Non-census metropolitan areas","Males","Days",1.3
"19164",2001,"Non-census metropolitan areas","Females","Incidence rate",2
"19167",2001,"Non-census metropolitan areas","Females","Inactivity rate",0.7
"19170",2001,"Non-census metropolitan areas","Females","Days",1.7
"19182",2001,"Population centres","Males","Incidence rate",1.5
"19185",2001,"Population centres","Males","Inactivity rate",0.5
"19188",2001,"Population centres","Males","Days",1.4
"19191",2001,"Population centres","Females","Incidence rate",2.1
"19194",2001,"Population centres","Females","Inactivity rate",0.8
"19197",2001,"Population centres","Females","Days",1.9
"19209",2002,"Canada","Males","Incidence rate",1.9
"19212",2002,"Canada","Males","Inactivity rate",0.6
"19215",2002,"Canada","Males","Days",1.6
"19218",2002,"Canada","Females","Incidence rate",2.4
"19221",2002,"Canada","Females","Inactivity rate",0.8
"19224",2002,"Canada","Females","Days",1.9
"19236",2002,"Atlantic region","Males","Incidence rate",1.6
"19239",2002,"Atlantic region","Males","Inactivity rate",0.5
"19242",2002,"Atlantic region","Males","Days",1.3
"19245",2002,"Atlantic region","Females","Incidence rate",2.2
"19248",2002,"Atlantic region","Females","Inactivity rate",0.7
"19251",2002,"Atlantic region","Females","Days",1.9
"19263",2002,"Newfoundland and Labrador","Males","Incidence rate",1.6
"19266",2002,"Newfoundland and Labrador","Males","Inactivity rate",0.6
"19269",2002,"Newfoundland and Labrador","Males","Days",1.6
"19272",2002,"Newfoundland and Labrador","Females","Incidence rate",2.1
"19275",2002,"Newfoundland and Labrador","Females","Inactivity rate",0.7
"19278",2002,"Newfoundland and Labrador","Females","Days",1.9
"19290",2002,"Prince Edward Island","Males","Incidence rate",NA
"19293",2002,"Prince Edward Island","Males","Inactivity rate",NA
"19296",2002,"Prince Edward Island","Males","Days",NA
"19299",2002,"Prince Edward Island","Females","Incidence rate",NA
"19302",2002,"Prince Edward Island","Females","Inactivity rate",NA
"19305",2002,"Prince Edward Island","Females","Days",NA
"19317",2002,"Nova Scotia","Males","Incidence rate",1.7
"19320",2002,"Nova Scotia","Males","Inactivity rate",0.5
"19323",2002,"Nova Scotia","Males","Days",1.4
"19326",2002,"Nova Scotia","Females","Incidence rate",2.5
"19329",2002,"Nova Scotia","Females","Inactivity rate",0.8
"19332",2002,"Nova Scotia","Females","Days",2
"19344",2002,"New Brunswick","Males","Incidence rate",1.4
"19347",2002,"New Brunswick","Males","Inactivity rate",0.4
"19350",2002,"New Brunswick","Males","Days",1.1
"19353",2002,"New Brunswick","Females","Incidence rate",2
"19356",2002,"New Brunswick","Females","Inactivity rate",0.7
"19359",2002,"New Brunswick","Females","Days",1.6
"19371",2002,"Quebec","Males","Incidence rate",1.7
"19374",2002,"Quebec","Males","Inactivity rate",0.6
"19377",2002,"Quebec","Males","Days",1.4
"19380",2002,"Quebec","Females","Incidence rate",2.2
"19383",2002,"Quebec","Females","Inactivity rate",0.6
"19386",2002,"Quebec","Females","Days",1.5
"19398",2002,"Ontario","Males","Incidence rate",2.1
"19401",2002,"Ontario","Males","Inactivity rate",0.7
"19404",2002,"Ontario","Males","Days",1.7
"19407",2002,"Ontario","Females","Incidence rate",2.7
"19410",2002,"Ontario","Females","Inactivity rate",0.8
"19413",2002,"Ontario","Females","Days",2.1
"19425",2002,"Prairie region","Males","Incidence rate",2.1
"19428",2002,"Prairie region","Males","Inactivity rate",0.7
"19431",2002,"Prairie region","Males","Days",1.7
"19434",2002,"Prairie region","Females","Incidence rate",2.5
"19437",2002,"Prairie region","Females","Inactivity rate",0.8
"19440",2002,"Prairie region","Females","Days",1.9
"19452",2002,"Manitoba","Males","Incidence rate",1.9
"19455",2002,"Manitoba","Males","Inactivity rate",0.6
"19458",2002,"Manitoba","Males","Days",1.4
"19461",2002,"Manitoba","Females","Incidence rate",2.6
"19464",2002,"Manitoba","Females","Inactivity rate",0.8
"19467",2002,"Manitoba","Females","Days",2.1
"19479",2002,"Saskatchewan","Males","Incidence rate",2.1
"19482",2002,"Saskatchewan","Males","Inactivity rate",0.6
"19485",2002,"Saskatchewan","Males","Days",1.6
"19488",2002,"Saskatchewan","Females","Incidence rate",2.9
"19491",2002,"Saskatchewan","Females","Inactivity rate",1
"19494",2002,"Saskatchewan","Females","Days",2.5
"19506",2002,"Alberta","Males","Incidence rate",2.1
"19509",2002,"Alberta","Males","Inactivity rate",0.7
"19512",2002,"Alberta","Males","Days",1.9
"19515",2002,"Alberta","Females","Incidence rate",2.3
"19518",2002,"Alberta","Females","Inactivity rate",0.7
"19521",2002,"Alberta","Females","Days",1.7
"19533",2002,"British Columbia","Males","Incidence rate",1.7
"19536",2002,"British Columbia","Males","Inactivity rate",0.6
"19539",2002,"British Columbia","Males","Days",1.4
"19542",2002,"British Columbia","Females","Incidence rate",2.3
"19545",2002,"British Columbia","Females","Inactivity rate",0.8
"19548",2002,"British Columbia","Females","Days",2.1
"19560",2002,"Total census metropolitan areas","Males","Incidence rate",1.9
"19563",2002,"Total census metropolitan areas","Males","Inactivity rate",0.6
"19566",2002,"Total census metropolitan areas","Males","Days",1.6
"19569",2002,"Total census metropolitan areas","Females","Incidence rate",2.5
"19572",2002,"Total census metropolitan areas","Females","Inactivity rate",0.8
"19575",2002,"Total census metropolitan areas","Females","Days",1.9
"19587",2002,"St. John's, Newfoundland and Labrador","Males","Incidence rate",1.8
"19590",2002,"St. John's, Newfoundland and Labrador","Males","Inactivity rate",0.7
"19593",2002,"St. John's, Newfoundland and Labrador","Males","Days",1.8
"19596",2002,"St. John's, Newfoundland and Labrador","Females","Incidence rate",2.5
"19599",2002,"St. John's, Newfoundland and Labrador","Females","Inactivity rate",0.7
"19602",2002,"St. John's, Newfoundland and Labrador","Females","Days",1.8
"19614",2002,"Halifax, Nova Scotia","Males","Incidence rate",1.7
"19617",2002,"Halifax, Nova Scotia","Males","Inactivity rate",0.5
"19620",2002,"Halifax, Nova Scotia","Males","Days",1.2
"19623",2002,"Halifax, Nova Scotia","Females","Incidence rate",2.9
"19626",2002,"Halifax, Nova Scotia","Females","Inactivity rate",1
"19629",2002,"Halifax, Nova Scotia","Females","Days",2.5
"19641",2002,"Moncton, New Brunswick","Males","Incidence rate",NA
"19644",2002,"Moncton, New Brunswick","Males","Inactivity rate",NA
"19647",2002,"Moncton, New Brunswick","Males","Days",NA
"19650",2002,"Moncton, New Brunswick","Females","Incidence rate",2.6
"19653",2002,"Moncton, New Brunswick","Females","Inactivity rate",0.9
"19656",2002,"Moncton, New Brunswick","Females","Days",2.2
"19668",2002,"Saint John, New Brunswick","Males","Incidence rate",NA
"19671",2002,"Saint John, New Brunswick","Males","Inactivity rate",NA
"19674",2002,"Saint John, New Brunswick","Males","Days",NA
"19677",2002,"Saint John, New Brunswick","Females","Incidence rate",NA
"19680",2002,"Saint John, New Brunswick","Females","Inactivity rate",NA
"19683",2002,"Saint John, New Brunswick","Females","Days",NA
"19695",2002,"Saguenay, Quebec","Males","Incidence rate",1.7
"19698",2002,"Saguenay, Quebec","Males","Inactivity rate",0.6
"19701",2002,"Saguenay, Quebec","Males","Days",1.5
"19704",2002,"Saguenay, Quebec","Females","Incidence rate",NA
"19707",2002,"Saguenay, Quebec","Females","Inactivity rate",NA
"19710",2002,"Saguenay, Quebec","Females","Days",NA
"19722",2002,"Québec, Quebec","Males","Incidence rate",2
"19725",2002,"Québec, Quebec","Males","Inactivity rate",0.8
"19728",2002,"Québec, Quebec","Males","Days",2.1
"19731",2002,"Québec, Quebec","Females","Incidence rate",2.1
"19734",2002,"Québec, Quebec","Females","Inactivity rate",0.7
"19737",2002,"Québec, Quebec","Females","Days",1.7
"19749",2002,"Sherbrooke, Quebec","Males","Incidence rate",1.5
"19752",2002,"Sherbrooke, Quebec","Males","Inactivity rate",0.4
"19755",2002,"Sherbrooke, Quebec","Males","Days",1.1
"19758",2002,"Sherbrooke, Quebec","Females","Incidence rate",NA
"19761",2002,"Sherbrooke, Quebec","Females","Inactivity rate",NA
"19764",2002,"Sherbrooke, Quebec","Females","Days",NA
"19776",2002,"Trois-Rivières, Quebec","Males","Incidence rate",NA
"19779",2002,"Trois-Rivières, Quebec","Males","Inactivity rate",NA
"19782",2002,"Trois-Rivières, Quebec","Males","Days",NA
"19785",2002,"Trois-Rivières, Quebec","Females","Incidence rate",NA
"19788",2002,"Trois-Rivières, Quebec","Females","Inactivity rate",NA
"19791",2002,"Trois-Rivières, Quebec","Females","Days",NA
"19803",2002,"Montréal, Quebec","Males","Incidence rate",1.8
"19806",2002,"Montréal, Quebec","Males","Inactivity rate",0.5
"19809",2002,"Montréal, Quebec","Males","Days",1.4
"19812",2002,"Montréal, Quebec","Females","Incidence rate",2.3
"19815",2002,"Montréal, Quebec","Females","Inactivity rate",0.6
"19818",2002,"Montréal, Quebec","Females","Days",1.6
"19830",2002,"Ottawa-Gatineau, Ontario/Quebec","Males","Incidence rate",2.1
"19833",2002,"Ottawa-Gatineau, Ontario/Quebec","Males","Inactivity rate",0.7
"19836",2002,"Ottawa-Gatineau, Ontario/Quebec","Males","Days",1.7
"19839",2002,"Ottawa-Gatineau, Ontario/Quebec","Females","Incidence rate",3.4
"19842",2002,"Ottawa-Gatineau, Ontario/Quebec","Females","Inactivity rate",0.8
"19845",2002,"Ottawa-Gatineau, Ontario/Quebec","Females","Days",2
"19857",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Incidence rate",2.2
"19860",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Inactivity rate",0.7
"19863",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Males","Days",1.7
"19866",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Incidence rate",3.5
"19869",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Inactivity rate",0.8
"19872",2002,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Females","Days",2.1
"19884",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Incidence rate",1.8
"19887",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Inactivity rate",0.7
"19890",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Males","Days",1.8
"19893",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Incidence rate",3
"19896",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Inactivity rate",0.7
"19899",2002,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Females","Days",1.7
"19911",2002,"Kingston, Ontario","Males","Incidence rate",NA
"19914",2002,"Kingston, Ontario","Males","Inactivity rate",NA
"19917",2002,"Kingston, Ontario","Males","Days",NA
"19920",2002,"Kingston, Ontario","Females","Incidence rate",3
"19923",2002,"Kingston, Ontario","Females","Inactivity rate",0.7
"19926",2002,"Kingston, Ontario","Females","Days",1.8
"19938",2002,"Peterborough, Ontario","Males","Incidence rate",NA
"19941",2002,"Peterborough, Ontario","Males","Inactivity rate",NA
"19944",2002,"Peterborough, Ontario","Males","Days",NA
"19947",2002,"Peterborough, Ontario","Females","Incidence rate",NA
"19950",2002,"Peterborough, Ontario","Females","Inactivity rate",NA
"19953",2002,"Peterborough, Ontario","Females","Days",NA
"19965",2002,"Oshawa, Ontario","Males","Incidence rate",2.2
"19968",2002,"Oshawa, Ontario","Males","Inactivity rate",0.6
"19971",2002,"Oshawa, Ontario","Males","Days",1.5
"19974",2002,"Oshawa, Ontario","Females","Incidence rate",2.9
"19977",2002,"Oshawa, Ontario","Females","Inactivity rate",0.9
"19980",2002,"Oshawa, Ontario","Females","Days",2.1
"19992",2002,"Toronto, Ontario","Males","Incidence rate",2.1
"19995",2002,"Toronto, Ontario","Males","Inactivity rate",0.8
"19998",2002,"Toronto, Ontario","Males","Days",1.9
"20001",2002,"Toronto, Ontario","Females","Incidence rate",2.6
"20004",2002,"Toronto, Ontario","Females","Inactivity rate",0.9
"20007",2002,"Toronto, Ontario","Females","Days",2.2
"20019",2002,"Hamilton, Ontario","Males","Incidence rate",1.7
"20022",2002,"Hamilton, Ontario","Males","Inactivity rate",0.5
"20025",2002,"Hamilton, Ontario","Males","Days",1.1
"20028",2002,"Hamilton, Ontario","Females","Incidence rate",2.2
"20031",2002,"Hamilton, Ontario","Females","Inactivity rate",0.8
"20034",2002,"Hamilton, Ontario","Females","Days",2.1
"20046",2002,"St. Catharines-Niagara, Ontario","Males","Incidence rate",2
"20049",2002,"St. Catharines-Niagara, Ontario","Males","Inactivity rate",0.7
"20052",2002,"St. Catharines-Niagara, Ontario","Males","Days",1.7
"20055",2002,"St. Catharines-Niagara, Ontario","Females","Incidence rate",2.3
"20058",2002,"St. Catharines-Niagara, Ontario","Females","Inactivity rate",0.7
"20061",2002,"St. Catharines-Niagara, Ontario","Females","Days",1.8
"20073",2002,"Kitchener-Cambridge-Waterloo, Ontario","Males","Incidence rate",2.6
"20076",2002,"Kitchener-Cambridge-Waterloo, Ontario","Males","Inactivity rate",0.7
"20079",2002,"Kitchener-Cambridge-Waterloo, Ontario","Males","Days",1.7
"20082",2002,"Kitchener-Cambridge-Waterloo, Ontario","Females","Incidence rate",2.8
"20085",2002,"Kitchener-Cambridge-Waterloo, Ontario","Females","Inactivity rate",0.7
"20088",2002,"Kitchener-Cambridge-Waterloo, Ontario","Females","Days",1.7
"20100",2002,"Brantford, Ontario","Males","Incidence rate",3.2
"20103",2002,"Brantford, Ontario","Males","Inactivity rate",1
"20106",2002,"Brantford, Ontario","Males","Days",2.5
"20109",2002,"Brantford, Ontario","Females","Incidence rate",NA
"20112",2002,"Brantford, Ontario","Females","Inactivity rate",NA
"20115",2002,"Brantford, Ontario","Females","Days",NA
"20127",2002,"Guelph, Ontario","Males","Incidence rate",1.8
"20130",2002,"Guelph, Ontario","Males","Inactivity rate",0.4
"20133",2002,"Guelph, Ontario","Males","Days",1
"20136",2002,"Guelph, Ontario","Females","Incidence rate",NA
"20139",2002,"Guelph, Ontario","Females","Inactivity rate",NA
"20142",2002,"Guelph, Ontario","Females","Days",NA
"20154",2002,"London, Ontario","Males","Incidence rate",2.2
"20157",2002,"London, Ontario","Males","Inactivity rate",0.7
"20160",2002,"London, Ontario","Males","Days",1.9
"20163",2002,"London, Ontario","Females","Incidence rate",2.3
"20166",2002,"London, Ontario","Females","Inactivity rate",0.8
"20169",2002,"London, Ontario","Females","Days",2
"20181",2002,"Windsor, Ontario","Males","Incidence rate",1.7
"20184",2002,"Windsor, Ontario","Males","Inactivity rate",0.4
"20187",2002,"Windsor, Ontario","Males","Days",1
"20190",2002,"Windsor, Ontario","Females","Incidence rate",2.7
"20193",2002,"Windsor, Ontario","Females","Inactivity rate",1.1
"20196",2002,"Windsor, Ontario","Females","Days",2.7
"20208",2002,"Barrie, Ontario","Males","Incidence rate",2.6
"20211",2002,"Barrie, Ontario","Males","Inactivity rate",0.7
"20214",2002,"Barrie, Ontario","Males","Days",1.7
"20217",2002,"Barrie, Ontario","Females","Incidence rate",2.5
"20220",2002,"Barrie, Ontario","Females","Inactivity rate",0.7
"20223",2002,"Barrie, Ontario","Females","Days",1.8
"20235",2002,"Greater Sudbury, Ontario","Males","Incidence rate",NA
"20238",2002,"Greater Sudbury, Ontario","Males","Inactivity rate",NA
"20241",2002,"Greater Sudbury, Ontario","Males","Days",NA
"20244",2002,"Greater Sudbury, Ontario","Females","Incidence rate",2.6
"20247",2002,"Greater Sudbury, Ontario","Females","Inactivity rate",0.9
"20250",2002,"Greater Sudbury, Ontario","Females","Days",2.2
"20262",2002,"Thunder Bay, Ontario","Males","Incidence rate",NA
"20265",2002,"Thunder Bay, Ontario","Males","Inactivity rate",NA
"20268",2002,"Thunder Bay, Ontario","Males","Days",NA
"20271",2002,"Thunder Bay, Ontario","Females","Incidence rate",NA
"20274",2002,"Thunder Bay, Ontario","Females","Inactivity rate",NA
"20277",2002,"Thunder Bay, Ontario","Females","Days",NA
"20289",2002,"Winnipeg, Manitoba","Males","Incidence rate",1.7
"20292",2002,"Winnipeg, Manitoba","Males","Inactivity rate",0.5
"20295",2002,"Winnipeg, Manitoba","Males","Days",1.3
"20298",2002,"Winnipeg, Manitoba","Females","Incidence rate",2.5
"20301",2002,"Winnipeg, Manitoba","Females","Inactivity rate",0.8
"20304",2002,"Winnipeg, Manitoba","Females","Days",2
"20316",2002,"Regina, Saskatchewan","Males","Incidence rate",2.2
"20319",2002,"Regina, Saskatchewan","Males","Inactivity rate",0.7
"20322",2002,"Regina, Saskatchewan","Males","Days",1.8
"20325",2002,"Regina, Saskatchewan","Females","Incidence rate",2.8
"20328",2002,"Regina, Saskatchewan","Females","Inactivity rate",1
"20331",2002,"Regina, Saskatchewan","Females","Days",2.6
"20343",2002,"Saskatoon, Saskatchewan","Males","Incidence rate",2
"20346",2002,"Saskatoon, Saskatchewan","Males","Inactivity rate",0.4
"20349",2002,"Saskatoon, Saskatchewan","Males","Days",1.1
"20352",2002,"Saskatoon, Saskatchewan","Females","Incidence rate",2.4
"20355",2002,"Saskatoon, Saskatchewan","Females","Inactivity rate",0.9
"20358",2002,"Saskatoon, Saskatchewan","Females","Days",2.1
"20370",2002,"Calgary, Alberta","Males","Incidence rate",1.8
"20373",2002,"Calgary, Alberta","Males","Inactivity rate",0.6
"20376",2002,"Calgary, Alberta","Males","Days",1.5
"20379",2002,"Calgary, Alberta","Females","Incidence rate",1.9
"20382",2002,"Calgary, Alberta","Females","Inactivity rate",0.5
"20385",2002,"Calgary, Alberta","Females","Days",1.3
"20397",2002,"Edmonton, Alberta","Males","Incidence rate",2.3
"20400",2002,"Edmonton, Alberta","Males","Inactivity rate",0.9
"20403",2002,"Edmonton, Alberta","Males","Days",2.2
"20406",2002,"Edmonton, Alberta","Females","Incidence rate",2.4
"20409",2002,"Edmonton, Alberta","Females","Inactivity rate",0.7
"20412",2002,"Edmonton, Alberta","Females","Days",1.9
"20424",2002,"Kelowna, British Columbia","Males","Incidence rate",2.6
"20427",2002,"Kelowna, British Columbia","Males","Inactivity rate",1.3
"20430",2002,"Kelowna, British Columbia","Males","Days",3.3
"20433",2002,"Kelowna, British Columbia","Females","Incidence rate",4
"20436",2002,"Kelowna, British Columbia","Females","Inactivity rate",1.9
"20439",2002,"Kelowna, British Columbia","Females","Days",4.8
"20451",2002,"Abbotsford-Mission, British Columbia","Males","Incidence rate",2.3
"20454",2002,"Abbotsford-Mission, British Columbia","Males","Inactivity rate",1.1
"20457",2002,"Abbotsford-Mission, British Columbia","Males","Days",2.7
"20460",2002,"Abbotsford-Mission, British Columbia","Females","Incidence rate",NA
"20463",2002,"Abbotsford-Mission, British Columbia","Females","Inactivity rate",NA
"20466",2002,"Abbotsford-Mission, British Columbia","Females","Days",NA
"20478",2002,"Vancouver, British Columbia","Males","Incidence rate",1.5
"20481",2002,"Vancouver, British Columbia","Males","Inactivity rate",0.4
"20484",2002,"Vancouver, British Columbia","Males","Days",1
"20487",2002,"Vancouver, British Columbia","Females","Incidence rate",2.2
"20490",2002,"Vancouver, British Columbia","Females","Inactivity rate",0.7
"20493",2002,"Vancouver, British Columbia","Females","Days",1.8
"20505",2002,"Victoria, British Columbia","Males","Incidence rate",2.2
"20508",2002,"Victoria, British Columbia","Males","Inactivity rate",0.8
"20511",2002,"Victoria, British Columbia","Males","Days",2.1
"20514",2002,"Victoria, British Columbia","Females","Incidence rate",2.4
"20517",2002,"Victoria, British Columbia","Females","Inactivity rate",1
"20520",2002,"Victoria, British Columbia","Females","Days",2.5
"20532",2002,"Non-census metropolitan areas","Males","Incidence rate",1.9
"20535",2002,"Non-census metropolitan areas","Males","Inactivity rate",0.6
"20538",2002,"Non-census metropolitan areas","Males","Days",1.6
"20541",2002,"Non-census metropolitan areas","Females","Incidence rate",2.5
"20544",2002,"Non-census metropolitan areas","Females","Inactivity rate",0.8
"20547",2002,"Non-census metropolitan areas","Females","Days",1.9
"20559",2002,"Population centres","Males","Incidence rate",1.8
"20562",2002,"Population centres","Males","Inactivity rate",0.6
"20565",2002,"Population centres","Males","Days",1.5
"20568",2002,"Population centres","Females","Incidence rate",2.4
"20571",2002,"Population centres","Females","Inactivity rate",0.8
"20574",2002,"Population centres","Females","Days",1.9
"20586",2003,"Canada","Males","Incidence rate",1.8
"20589",2003,"Canada","Males","Inactivity rate",0.6
"20592",2003,"Canada","Males","Days",1.5
"20595",2003,"Canada","Females","Incidence rate",2.3
"20598",2003,"Canada","Females","Inactivity rate",0.8
"20601",2003,"Canada","Females","Days",1.9
"20613",2003,"Atlantic region","Males","Incidence rate",1.5
"20616",2003,"Atlantic region","Males","Inactivity rate",0.5
"20619",2003,"Atlantic region","Males","Days",1.3
"20622",2003,"Atlantic region","Females","Incidence rate",2.1
"20625",2003,"Atlantic region","Females","Inactivity rate",0.8
"20628",2003,"Atlantic region","Females","Days",1.9
"20640",2003,"Newfoundland and Labrador","Males","Incidence rate",1.1
"20643",2003,"Newfoundland and Labrador","Males","Inactivity rate",0.4
"20646",2003,"Newfoundland and Labrador","Males","Days",1
"20649",2003,"Newfoundland and Labrador","Females","Incidence rate",1.9
"20652",2003,"Newfoundland and Labrador","Females","Inactivity rate",0.8
"20655",2003,"Newfoundland and Labrador","Females","Days",1.9
"20667",2003,"Prince Edward Island","Males","Incidence rate",NA
"20670",2003,"Prince Edward Island","Males","Inactivity rate",NA
"20673",2003,"Prince Edward Island","Males","Days",NA
"20676",2003,"Prince Edward Island","Females","Incidence rate",NA
"20679",2003,"Prince Edward Island","Females","Inactivity rate",NA
"20682",2003,"Prince Edward Island","Females","Days",NA
"20694",2003,"Nova Scotia","Males","Incidence rate",1.8
"20697",2003,"Nova Scotia","Males","Inactivity rate",0.6
"20700",2003,"Nova Scotia","Males","Days",1.5
"20703",2003,"Nova Scotia","Females","Incidence rate",2.2
"20706",2003,"Nova Scotia","Females","Inactivity rate",0.8
"20709",2003,"Nova Scotia","Females","Days",2
"20721",2003,"New Brunswick","Males","Incidence rate",1.5
"20724",2003,"New Brunswick","Males","Inactivity rate",0.5
"20727",2003,"New Brunswick","Males","Days",1.2
"20730",2003,"New Brunswick","Females","Incidence rate",2.1
"20733",2003,"New Brunswick","Females","Inactivity rate",0.7
"20736",2003,"New Brunswick","Females","Days",1.7
"20748",2003,"Quebec","Males","Incidence rate",1.7
"20751",2003,"Quebec","Males","Inactivity rate",0.6
"20754",2003,"Quebec","Males","Days",1.5
"20757",2003,"Quebec","Females","Incidence rate",2.2
"20760",2003,"Quebec","Females","Inactivity rate",0.6
"20763",2003,"Quebec","Females","Days",1.5
"20775",2003,"Ontario","Males","Incidence rate",1.9
"20778",2003,"Ontario","Males","Inactivity rate",0.6
"20781",2003,"Ontario","Males","Days",1.6
"20784",2003,"Ontario","Females","Incidence rate",2.4
"20787",2003,"Ontario","Females","Inactivity rate",0.8
"20790",2003,"Ontario","Females","Days",2
"20802",2003,"Prairie region","Males","Incidence rate",1.9
"20805",2003,"Prairie region","Males","Inactivity rate",0.6
"20808",2003,"Prairie region","Males","Days",1.6
"20811",2003,"Prairie region","Females","Incidence rate",2.3
"20814",2003,"Prairie region","Females","Inactivity rate",0.8
"20817",2003,"Prairie region","Females","Days",2
"20829",2003,"Manitoba","Males","Incidence rate",1.9
"20832",2003,"Manitoba","Males","Inactivity rate",0.6
"20835",2003,"Manitoba","Males","Days",1.5
"20838",2003,"Manitoba","Females","Incidence rate",2.3
"20841",2003,"Manitoba","Females","Inactivity rate",0.7
"20844",2003,"Manitoba","Females","Days",1.7
"20856",2003,"Saskatchewan","Males","Incidence rate",1.7
"20859",2003,"Saskatchewan","Males","Inactivity rate",0.6
"20862",2003,"Saskatchewan","Males","Days",1.5
"20865",2003,"Saskatchewan","Females","Incidence rate",2.4
"20868",2003,"Saskatchewan","Females","Inactivity rate",0.9
"20871",2003,"Saskatchewan","Females","Days",2.2
"20883",2003,"Alberta","Males","Incidence rate",2
"20886",2003,"Alberta","Males","Inactivity rate",0.7
"20889",2003,"Alberta","Males","Days",1.6
"20892",2003,"Alberta","Females","Incidence rate",2.2
"20895",2003,"Alberta","Females","Inactivity rate",0.8
"20898",2003,"Alberta","Females","Days",2
"20910",2003,"British Columbia","Males","Incidence rate",1.7
"20913",2003,"British Columbia","Males","Inactivity rate",0.6
"20916",2003,"British Columbia","Males","Days",1.5
"20919",2003,"British Columbia","Females","Incidence rate",1.9
"20922",2003,"British Columbia","Females","Inactivity rate",0.8
"20925",2003,"British Columbia","Females","Days",2.1
"20937",2003,"Total census metropolitan areas","Males","Incidence rate",1.8
"20940",2003,"Total census metropolitan areas","Males","Inactivity rate",0.6
"20943",2003,"Total census metropolitan areas","Males","Days",1.6
